id	chave	autores	titulo	ano	veiculo	link	area	tema
RF201	wald1945sequential	Abraham Wald	Sequential Tests of Statistical Hypotheses	1945	The Annals of Mathematical Statistics, 16(2):117-186	https://doi.org/10.1214/aoms/1177731118	Probabilidade e Estatística	Teste sequencial, razão de verossimilhança, parada opcional, erro tipo I e II
RF202	kass1995bayes	Robert E. Kass, Adrian E. Raftery	Bayes Factors	1995	Journal of the American Statistical Association, 90(430):773-795	https://doi.org/10.1080/01621459.1995.10476572	Probabilidade e Estatística	Fator de Bayes, evidência, prior, escala de interpretação
RF203	vapnik1971uniform	Vladimir N. Vapnik, Alexey Ya. Chervonenkis	On the Uniform Convergence of Relative Frequencies of Events to Their Probabilities	1971	Theory of Probability & Its Applications, 16(2):264-280	https://doi.org/10.1137/1116025	Probabilidade e Estatística	Dimensão VC, convergência uniforme, capacidade, generalização
RF204	efron1979bootstrap	Bradley Efron	Bootstrap Methods: Another Look at the Jackknife	1979	The Annals of Statistics, 7(1):1-26	https://doi.org/10.1214/aos/1176344552	Probabilidade e Estatística	Bootstrap, reamostragem, intervalo de confiança, erro-padrão
RF205	ioannidis2005most	John P. A. Ioannidis	Why Most Published Research Findings Are False	2005	PLoS Medicine, 2(8):e124	https://doi.org/10.1371/journal.pmed.0020124	Probabilidade e Estatística	Poder estatístico, valor preditivo positivo, viés de publicação, pré-probabilidade
RF206	wasserstein2016statement	Ronald L. Wasserstein, Nicole A. Lazar	The ASA Statement on p-Values: Context, Process, and Purpose	2016	The American Statistician, 70(2):129-133	https://doi.org/10.1080/00031305.2016.1154108	Probabilidade e Estatística	P-valor, significância, inferência, uso indevido
RF207	amos2017input	Brandon Amos, Lei Xu, J. Zico Kolter	Input Convex Neural Networks	2017	Proceedings of the 34th International Conference on Machine Learning (PMLR 70:316-325)	https://proceedings.mlr.press/v70/amos17a.html	Ciência da Computação	Convexidade, rede neural, otimização, energia, parametrização
RF208	maass2002real	Wolfgang Maass, Thomas Natschläger, Henry Markram	Real-Time Computing Without Stable States: A New Framework for Neural Computation Based on Perturbations	2002	Neural Computation, 14(11):2531-2560	https://doi.org/10.1162/089976602760407955	Ciência da Computação	Reservatório, máquina de estado líquido, memória de curto prazo, separabilidade
RF209	dempster1967upper	Arthur P. Dempster	Upper and Lower Probabilities Induced by a Multivalued Mapping	1967	The Annals of Mathematical Statistics, 38(2):325-339	https://doi.org/10.1214/aoms/1177698950	Ciência da Computação	Probabilidade imprecisa, crença, plausibilidade, evidência
RF210	jsang2016subjective	Audun Jøsang	Subjective Logic: A Formalism for Reasoning Under Uncertainty	2016	Springer (Artificial Intelligence: Foundations, Theory, and Algorithms)	https://doi.org/10.1007/978-3-319-42337-1	Ciência da Computação	Lógica subjetiva, opinião, crença, fusão de evidência, incerteza
RF211	alon1999space	Noga Alon, Yossi Matias, Mario Szegedy	The Space Complexity of Approximating the Frequency Moments	1999	Journal of Computer and System Sciences, 58(1):137-147	https://doi.org/10.1006/jcss.1997.1545	Ciência da Computação	Momentos de frequência, streaming, espaço, aleatorização
RF212	indyk2005optimal	Piotr Indyk, David P. Woodruff	Optimal Approximations of the Frequency Moments of Data Streams	2005	Proceedings of the 37th Annual ACM Symposium on Theory of Computing (STOC), 202-208	https://doi.org/10.1145/1060590.1060621	Ciência da Computação	Momentos de frequência, espaço ótimo, esboço, limites inferiores
RF213	woodruff2014sketching	David P. Woodruff	Sketching as a Tool for Numerical Linear Algebra	2014	Foundations and Trends in Theoretical Computer Science, 10(1-2):1-157	https://doi.org/10.1561/0400000060	Ciência da Computação	Esboço, álgebra linear numérica, regressão, posto baixo, subespaço
RF214	mendlerdunner2020stochastic	Celestine Mendler-Dünner, Juan Perdomo, Tijana Zrnic, Moritz Hardt	Stochastic Optimization for Performative Prediction	2020	Proceedings of the 37th International Conference on Machine Learning (PMLR 119:7081-7090)	https://proceedings.mlr.press/v119/mendler-dunner20a.html	Ciência da Computação	Predição performativa, ponto de performers, risco performativo, reamostragem
RF215	higuchi1988approach	T. Higuchi	Approach to an Irregular Time Series on the Basis of the Fractal Theory	1988	Physica D: Nonlinear Phenomena, 31(2):277-283	https://doi.org/10.1016/0167-2789(88)90081-4	Matemática	Dimensão fractal, série temporal, rugosidade, escala
RF216	gohberg2006invariant	Israel Gohberg, Peter Lancaster, Leiba Rodman	Invariant Subspaces of Matrices with Applications	2006	Society for Industrial and Applied Mathematics (SIAM Classics in Applied Mathematics 51)	https://doi.org/10.1137/1.9780898719093	Matemática	Subespaço invariante, forma de Jordan, divisores elementares, perturbação
RF217	bougerol1985products	Philippe Bougerol, Jean Lacroix	Products of Random Matrices with Applications to Schrödinger Operators	1985	Birkhäuser Boston (Progress in Probability and Statistics 8)	https://doi.org/10.1007/978-1-4684-9172-2	Matemática	Produto de matrizes aleatórias, expoente de Lyapunov, ergodicidade multiplicativa
RF218	bak1987self	Per Bak, Chao Tang, Kurt Wiesenfeld	Self-organized Criticality: An Explanation of 1/f Noise	1987	Physical Review Letters, 59(4):381-384	https://doi.org/10.1103/PhysRevLett.59.381	Física	Criticalidade auto-organizada, lei de potência, ruído 1/f, avalanches
RF219	buldyrev2010catastrophic	Sergey V. Buldyrev, Roni Parshani, Gerald Paul, H. Eugene Stanley, Shlomo Havlin	Catastrophic Cascade of Failures in Interdependent Networks	2010	Nature, 464:1025-1028	https://doi.org/10.1038/nature08932	Física	Redes interdependentes, cascata de falhas, transição abrupta, robustez
RF220	scheffer2009early	Marten Scheffer, Jordi Bascompte, William A. Brock, Victor Brovkin, Stephen R. Carpenter, Vasilis Dakos, Hermann Held, Egbert H. van Nes, Max Rietkerk, George Sugihara	Early-warning signals for critical transitions	2009	Nature, 461:53-59	https://doi.org/10.1038/nature08227	Física	Sinal de alerta precoce, transição crítica, critical slowing down, variância
RF221	dakos2012methods	Vasilis Dakos, Stephen R. Carpenter, William A. Brock, Aaron M. Ellison, Vishwesha Guttal, Anthony R. Ives, Sonia Kéfi, David A. Seekell, and others	Methods for Detecting Early Warnings of Critical Transitions in Time Series Illustrated Using Simulated Ecological Data	2012	PLoS ONE, 7(7):e41010	https://doi.org/10.1371/journal.pone.0041010	Física	Sinal de alerta precoce, séries temporais, resiliência, indicadores
RF222	borkar1997stochastic	Vivek S. Borkar	Stochastic approximation with two time scales	1997	Systems & Control Letters, 29(5):291-294	https://doi.org/10.1016/S0167-6911(97)00015-1	Ciência da Computação	Aproximação estocástica, dois passos de aprendizagem, acoplamento de escalas de tempo
RF223	sutton1999mdps	Richard S. Sutton, Doina Precup, Satinder Singh	Between MDPs and semi-MDPs: A framework for temporal abstraction in reinforcement learning	1999	Artificial Intelligence, 112(1-2):181-211	https://doi.org/10.1016/S0004-3702(99)00052-1	Ciência da Computação	Abstração temporal, opções, semi-MDPs, hierarquia de políticas
RF224	ng1999policy	Andrew Y. Ng, Daishi Harada, Stuart Russell	Policy invariance under reward transformations: Theory and application to reward shaping	1999	Proceedings of the 16th International Conference on Machine Learning, 278-287	https://people.eecs.berkeley.edu/~russell/papers/ml99-shaping.pdf	Ciência da Computação	Invariância de política, transformação de recompensa, shaping baseado em potencial
RF225	jaeger2001echo	Herbert Jaeger	The echo state approach to analysing and training recurrent neural networks	2001	GMD Report 148, German National Research Center for Information Technology	https://www.ai.rug.nl/minds/uploads/EchoStatesTechRep.pdf	Ciência da Computação	Reservatórios, estado de eco, memória fugaz, leitura linear
RF226	hart2020embedding	Allen G. Hart, James L. Hook, Jonathan H. P. Dawes	Embedding and approximation theorems for echo state networks	2020	Neural Networks, 128:234-247	https://doi.org/10.1016/j.neunet.2020.05.006	Ciência da Computação	Teoremas de imersão, aproximação universal, memória fugaz, reservatórios
RF227	al2025optimal	M. U. Gaimann et al.	Optimal information injection and transfer mechanisms for active matter reservoir computing	2025	arXiv:2509.01799	https://arxiv.org/abs/2509.01799	Ciência da Computação	Computação por reservatórios, matéria ativa, mistura elástico-viscosa, transferência de informação
RF228	roldan2017statistics	Édgar Roldán, Izaak Neri, Meinolf Roldán, Jürgen Mehl, Frank Jülicher	Statistics of Infima and Stopping Times of Entropy Production and Applications to Active Molecular Processes	2017	Physical Review X, 7(2):021026	https://doi.org/10.1103/PhysRevX.7.021026	Ciência da Computação	Produção de entropia, martingal exponencial, tempos de parada, ínfimos
RF229	hasegawa2019uncertainty	Yoshihiko Hasegawa	Uncertainty relations in stochastic processes: An information inequality approach	2019	Physical Review E, 99(6):062126	https://doi.org/10.1103/PhysRevE.99.062126	Ciência da Computação	Relação de incerteza termodinâmica, desigualdade de informação, dissipação
RF230	benamou2000computational	Jean-David Benamou, Yann Brenier	A computational fluid mechanics solution to the Monge-Kantorovich mass transfer problem	2000	Numerische Mathematik, 84(3):375-393	https://doi.org/10.1007/s002110050002	Matemática	Ação de transporte, formulação dinâmica, escoamento incompressível
RF231	blom1976some	Gunnar Blom	Some properties of incomplete U-statistics	1976	Biometrika, 63(3):573-580	https://doi.org/10.1093/biomet/63.3.573	Ciência da Computação	U-estatísticas incompletas, subamostragem de pares, variância assintótica
RF232	huo2016fast	Xiaoming Huo, Gábor J. Székely	Fast Computing for Distance Covariance	2016	Technometrics, 58(4):435-447	https://doi.org/10.1080/00401706.2015.1054435	Ciência da Computação	Covariância de distância, complexidade computacional, algoritmos rápidos
RF233	savage1962mills	I. Richard Savage	Mills' ratio for multivariate normal distributions	1962	Journal of Research of the National Bureau of Standards B, 66(3):93-96	https://nvlpubs.nist.gov/nistpubs/jres/66B/jresv66n3p93_A1b.pdf	Probabilidade e Estatística	Razão de Mills multivariada, cauda normal conjunta, assintótica
RF234	hashorva2003multivariate	Enkelejd Hashorva, Jürg Hüsler	On multivariate Gaussian tails	2003	Annals of the Institute of Statistical Mathematics, 55(3):507-522	https://doi.org/10.1007/BF02530509	Probabilidade e Estatística	Cauda gaussiana multivariada, independência assintótica, ponto de Laplace
RF235	bollerslev1986generalized	Tim Bollerslev	Generalized autoregressive conditional heteroskedasticity	1986	Journal of Econometrics	—	Estatística	Modelos de volatilidade condicional; heterocedasticidade; séries financeiras
RF236	engle1982autoregressive	Robert F. Engle	Autoregressive conditional heteroscedasticity with estimates of the variance of United Kingdom inflation	1982	Econometrica	—	Econometria	Heterocedasticidade condicional; variância condicional; inflação
RF237	arnold1998records	Barry C. Arnold; N. Balakrishnan; H. N. Nagaraja	Records	1998	Wiley Series in Probability and Statistics	—	Estatística	Teoria de recordes; valores extremos; estatísticas de ordem
